,MSE,MAE
BA,65.79576717624188,6.61120081362517
BAX,2.7431151155534232,1.312432330587636
BIIB,123.31230742379856,10.218789274796196
CCL,1.158737582905656,0.8745579926863961
CHTR,396.2499300836788,15.544994321076766
CPAY,39.04415172843425,4.653389043393341
CTLT,31.025439738194233,4.377112015433934
CVX,27.628023066707268,3.7338311900263257
D,1.817433719249422,1.042456917140795
FCX,4.5214568980073615,1.6460713262143345
FIS,13.034030795722453,2.7704591834026835
GNRC,262.693498897182,12.928033845320993
GPN,17.288276643109114,3.1933287910793138
INTC,1.515548747804386,0.9919337728749154
KMX,17.29054586233916,3.3750725787618885
MRNA,145.88682182572842,9.721459297511888
NCLH,1.2352934712555472,0.900117940488069
NFLX,1539.7640956386865,27.738336314325743
NUE,109.34792554005377,8.630044157608696
PARA,4.1253830086700525,1.603663137684698
RCL,12.495388537381256,2.8285786172618037
SWK,87.35488758771326,7.983524289338485
TFX,189.2496021117934,9.70567918860394
TSLA,576.3089638048295,20.349528171705163
URI,527.7318085280375,19.890274976647433
VTRS,0.2285902266911326,0.3060032222581945
WBD,1.9264327553524787,1.0981276470681895
WST,525.9622816110923,18.437798806895387
