Date,Ticker,Investment Fraction,Portfolio Return,SP500 Return
2022-07-26,PLTR,0.1,9.30534581315528,4.339141058119733
2022-07-26,ABNB,0.1,9.30534581315528,4.339141058119733
2022-07-26,NCLH,0.1,9.30534581315528,4.339141058119733
2022-07-26,NFLX,0.1,9.30534581315528,4.339141058119733
2022-07-26,BIIB,0.1,9.30534581315528,4.339141058119733
2022-07-26,PYPL,0.1,9.30534581315528,4.339141058119733
2022-07-26,MKTX,0.1,9.30534581315528,4.339141058119733
2022-07-26,WYNN,0.1,9.30534581315528,4.339141058119733
2022-07-26,RCL,0.1,9.30534581315528,4.339141058119733
2022-07-26,CCL,0.1,9.30534581315528,4.339141058119733
2022-08-02,PLTR,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,BIIB,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,NFLX,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,INTC,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,ABNB,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,BAX,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,VTRS,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,WST,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,WYNN,0.1,-0.3844158741195557,0.764576416287046
2022-08-02,COP,0.1,-0.3844158741195557,0.764576416287046
2022-08-09,PLTR,0.1,6.176775732225109,4.432536099613174
2022-08-09,NCLH,0.1,6.176775732225109,4.432536099613174
2022-08-09,BIIB,0.1,6.176775732225109,4.432536099613174
2022-08-09,NFLX,0.1,6.176775732225109,4.432536099613174
2022-08-09,ABNB,0.1,6.176775732225109,4.432536099613174
2022-08-09,INTC,0.1,6.176775732225109,4.432536099613174
2022-08-09,TFX,0.1,6.176775732225109,4.432536099613174
2022-08-09,ALGN,0.1,6.176775732225109,4.432536099613174
2022-08-09,WST,0.1,6.176775732225109,4.432536099613174
2022-08-09,CRL,0.1,6.176775732225109,4.432536099613174
2022-08-16,PLTR,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,BIIB,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,NFLX,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,INTC,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,TFX,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,COP,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,ABNB,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,WST,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,BAX,0.1,-7.294107589752278,-4.099001366670258
2022-08-16,MKTX,0.1,-7.294107589752278,-4.099001366670258
2022-08-23,PLTR,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,BIIB,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,NFLX,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,TFX,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,INTC,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,ABNB,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,MKTX,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,BAX,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,ALGN,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-23,NCLH,0.1,-1.9235799980758674,-3.4531216387076125
2022-08-30,PLTR,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,BIIB,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,INTC,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,COP,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,NFLX,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,MPC,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,TFX,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,ABNB,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,BAX,0.1,0.18218121435596715,-0.1577908327954309
2022-08-30,WYNN,0.1,0.18218121435596715,-0.1577908327954309
2022-09-07,PLTR,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,BIIB,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,INTC,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,TFX,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,MKTX,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,NFLX,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,ABNB,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,WYNN,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,BAX,0.1,1.4097666180237827,-0.8507842322704567
2022-09-07,VTRS,0.1,1.4097666180237827,-0.8507842322704567
2022-09-14,PLTR,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,INTC,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,BIIB,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,NFLX,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,TFX,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,WYNN,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,VTRS,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,MKTX,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,CRL,0.1,-3.500264403152594,-3.955389817530403
2022-09-14,WST,0.1,-3.500264403152594,-3.955389817530403
2022-09-21,PLTR,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,INTC,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,BIIB,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,TFX,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,BAX,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,MKTX,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,ABNB,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,NFLX,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,COP,0.1,2.099598080272294,-1.8704802953292972
2022-09-21,VTRS,0.1,2.099598080272294,-1.8704802953292972
2022-09-28,PLTR,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,INTC,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,TFX,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,MKTX,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,VTRS,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,BAX,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,FIS,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,ABNB,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,VZ,0.1,3.1170903705806623,1.7273272016336962
2022-09-28,CPAY,0.1,3.1170903705806623,1.7273272016336962
2022-10-05,PLTR,0.1,-3.334954789740871,-5.451618659016676
2022-10-05,INTC,0.1,-3.334954789740871,-5.451618659016676
2022-10-05,TFX,0.1,-3.334954789740871,-5.451618659016676
2022-10-05,MPC,0.1,-3.334954789740871,-5.451618659016676
